cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,sentiment
Ugztvgn0RSpPSvfcjP94AaABAg,"The reason for less sound ending is weight savings, kudos to Porsche!",9 days ago,@unlimiteddevotion1551,UCKu6szKRlISd6GhfGSrCmUg,0,,https://yt3.ggpht.com/ytc/AIdro_lZCwccuu9dAOobYdkdVArhhUqmb-8CR3YHmnPsiuo7Mw=s88-c-k-c0x00ffffff-no-rj,False,False,1750495351.57512,Positive
UgxwJ6XRlo1WQxWG9Qp4AaABAg,all proper modern sportscars must have a limited slip!   mandatory !,9 days ago,@unlimiteddevotion1551,UCKu6szKRlISd6GhfGSrCmUg,0,,https://yt3.ggpht.com/ytc/AIdro_lZCwccuu9dAOobYdkdVArhhUqmb-8CR3YHmnPsiuo7Mw=s88-c-k-c0x00ffffff-no-rj,False,False,1750495351.580232,Negative
UgyT9DHD0B_ksItuxeN4AaABAg,"Porsche sounded like a vacuum cleaner. Come on Porsche, you're better than that.",3 weeks ago,@isaachy777,UCFiw9yudu-jZNdE3MwODQLA,0,,https://yt3.ggpht.com/ytc/AIdro_n6fRBDZipVeVwcUukMWGbZmXvmz0rew0SL3zIH47YxFa1f=s88-c-k-c0x00ffffff-no-rj,False,False,1749458551.581987,Positive
UgyC3KRLC-6E-1Bt8Rl4AaABAg,"2025 
M3 - $85k USD
911 - $150k USD",1 month ago,@SeBro999,UCy8T-EDjp9dCa1ZXEiDUF6A,0,,https://yt3.ggpht.com/ytc/AIdro_mH2h-if7zcMV2koHKamfd8bYn5nl2opkydYASzYM8=s88-c-k-c0x00ffffff-no-rj,False,False,1748594551.584793,Neutral
UgwoCoOESr326z89Fwl4AaABAg,M3🎉,1 month ago,@alvarolima960,UCMd49xWuZnjCGQxmbJeUbYw,0,,https://yt3.ggpht.com/noTBcLxverveYJoOEXeCpYnj48uyVYyzTdFLGwQr8oV6KGodpPNygrnhrpqKUVKMzukJJn0LnRo=s88-c-k-c0x00ffffff-no-rj,False,False,1748594551.588321,Positive
UgxRgUfeE00Ja0q3gFt4AaABAg,I have a g80 m3 comp rwd....there is a lot of room for improvement for its launch control. It's not great,2 months ago,@robspring81,UCJgGCrtMYz2mZZnCHGNb_Ww,0,,https://yt3.ggpht.com/ytc/AIdro_lvM58LsnZc3OTK2sdbOWF268ZDbCI6qtT6uIfq2Wc=s88-c-k-c0x00ffffff-no-rj,False,False,1746002551.592084,Negative
UgyJ_NEDphiPL3t9NEB4AaABAg,I’ve watched lots of his videos and he has no clue how to launch BMWs which is weird and concerning considering the amount of high end cars he reviews.,3 months ago,@frankcerato3843,UClwYcL3pTmSRXMxmBB6tJWQ,1,,https://yt3.ggpht.com/ytc/AIdro_l_6rDS1vBWNk-JoSLw53su1SEW6CdFW-39wMzSTeM=s88-c-k-c0x00ffffff-no-rj,False,False,1743324151.593891,Negative
UgyyLIK01N6Rd1LqpFh4AaABAg,"Awesome video, I didn't know I could lease a car thru Car wow !!! I currently own 2023 Individual M5 Competition in Night Blue Metallic and a 2024 Individual M3 Competition w/X-drive in Enigmatic Black Metallic ( Love this color ) and a 2024 M4 Competition in Toronto Red ( Wife's Car ) and a 2023 JCW Red Convertible - I love the M5 for my daily driver and trips over 4 hours but the clear favorite is the M3 - My Wife wants a Red Porshe Targa - she might have to get a new husband - they are insanely expensive and a very long wait list !!!",4 months ago,@TomFarinola-h7g,UCiIBhyBV_NGcQrTeQdZPazg,1,,https://yt3.ggpht.com/ytc/AIdro_m8X9mT-HZG5lKIiCAJykIcmXqiL55IlVyGqWptac3ezJgf6r2Can8euNwXp4DTBFAbEw=s88-c-k-c0x00ffffff-no-rj,False,False,1740732151.598516,Positive
Ugx1TA66RGX6gHm62s14AaABAg,I see there only one sports car second car is ugly sedan!,4 months ago,@Miroslav-v9m,UC99q9VaXK0S0OwSxkfjKyAQ,0,,https://yt3.ggpht.com/ytc/AIdro_kexSU46w6cYLAw7n2skj-kjy6uv4tRLz7Q3K1rsh5kWb6z0DWyfRdUElppkPxsBgt36Q=s88-c-k-c0x00ffffff-no-rj,False,False,1740732151.601443,Negative
UgzywMo7yjeaME-3R4h4AaABAg,Non biased reviews on porches by mat Watson 👍,4 months ago,@mokielty364,UC_7RUlMq0wEOEinu-G7kn7Q,1,,https://yt3.ggpht.com/ytc/AIdro_kpbWfM2T1lhmpmI6Pqi4A7KV3jq67GFoHWl8ETI9k=s88-c-k-c0x00ffffff-no-rj,False,False,1740732151.603549,Negative
